year,municipality,barcelona neighbourhoods,concept,status,value
2015,Barcelona,el Parc i la Llacuna del Poblenou,foreign population from low or middle income countries (%),,11.3
2015,Barcelona,el Parc i la Llacuna del Poblenou,average income per person (€),,14470
2015,Barcelona,la Vila Olímpica del Poblenou,employed population (%),,60.5
2015,Barcelona,la Vila Olímpica del Poblenou,low-skilled workers (%),,2.1
2015,Barcelona,la Vila Olímpica del Poblenou,population with low studies (%),.., 
2015,Barcelona,la Vila Olímpica del Poblenou,young population without post-compulsory education (%),.., 
2015,Barcelona,la Vila Olímpica del Poblenou,foreign population from low or middle income countries (%),,5.3
2015,Barcelona,la Vila Olímpica del Poblenou,average income per person (€),,21763
2015,Barcelona,el Poblenou,employed population (%),,64.1
2015,Barcelona,el Poblenou,low-skilled workers (%),,6.1
2015,Barcelona,el Poblenou,population with low studies (%),.., 
2015,Barcelona,el Poblenou,young population without post-compulsory education (%),.., 
2015,Barcelona,el Poblenou,foreign population from low or middle income countries (%),,8.6
2015,Barcelona,el Poblenou,average income per person (€),,14573
2015,Barcelona,Diagonal Mar i el Front Marítim del Poblenou,employed population (%),,64.8
2015,Barcelona,Diagonal Mar i el Front Marítim del Poblenou,low-skilled workers (%),,3.8
2015,Barcelona,Diagonal Mar i el Front Marítim del Poblenou,population with low studies (%),.., 
2015,Barcelona,Diagonal Mar i el Front Marítim del Poblenou,young population without post-compulsory education (%),.., 
2015,Barcelona,Diagonal Mar i el Front Marítim del Poblenou,foreign population from low or middle income countries (%),,8.4
2015,Barcelona,Diagonal Mar i el Front Marítim del Poblenou,average income per person (€),,16591
2015,Barcelona,el Besòs i el Maresme,employed population (%),,52.3
2015,Barcelona,el Besòs i el Maresme,low-skilled workers (%),,19.6
2015,Barcelona,el Besòs i el Maresme,population with low studies (%),.., 
2015,Barcelona,el Besòs i el Maresme,young population without post-compulsory education (%),.., 
